key,value,date
.po,0.000,3/10/16
.css,0.000,3/10/16
.html,0.000,3/10/16
spelling_wordlist,0.000,3/10/16
.txt,0.007,3/10/16
AUTHORS ,0.000,3/10/16
.py,0.011,3/10/16
.po,0.000,2/10/16
.css,0.000,2/10/16
.js,0.000,2/10/16
.html,0.000,2/10/16
.python,0.000,2/10/16
.py,0.029,2/10/16
.txt,0.022,2/10/16
.py-tpl,0.000,2/10/16
AUTHORS ,0.000,2/10/16
spelling_wordlist,0.000,2/10/16
.cfg,0.000,2/10/16
spelling_wordlist,0.000,1/10/16
.po,0.003,1/10/16
.in,0.000,1/10/16
.css,0.000,1/10/16
.js,0.000,1/10/16
.html,0.000,1/10/16
.python,0.000,1/10/16
.py,0.042,1/10/16
.txt,0.025,1/10/16
.py-tpl,0.000,1/10/16
AUTHORS ,0.000,1/10/16
.1,0.000,1/10/16
.cfg,0.000,1/10/16
spelling_wordlist,0.000,12/10/15
.po,0.073,12/10/15
.graffle,0.000,12/10/15
.in,0.000,12/10/15
.json,0.000,12/10/15
AUTHORS,0.000,12/10/15
.css,0.000,12/10/15
.js,0.009,12/10/15
.eslintrc ,0.000,12/10/15
.python,0.000,12/10/15
.py,0.048,12/10/15
.txt,0.028,12/10/15
.py-tpl,0.000,12/10/15
.html,0.000,12/10/15
.1,0.000,12/10/15
.cfg,0.000,12/10/15
spelling_wordlist,0.000,11/10/15
.po,0.074,11/10/15
.graffle,0.000,11/10/15
.in,0.000,11/10/15
.json,0.000,11/10/15
AUTHORS,0.000,11/10/15
.css,0.000,11/10/15
.js,0.009,11/10/15
.eslintrc ,0.000,11/10/15
.python,0.000,11/10/15
.py,0.054,11/10/15
.txt,0.030,11/10/15
.py-tpl,0.000,11/10/15
.html,0.000,11/10/15
.1,0.000,11/10/15
.cfg,0.000,11/10/15
spelling_wordlist,0.000,10/10/15
.po,0.074,10/10/15
.graffle,0.000,10/10/15
.in,0.000,10/10/15
.json,0.000,10/10/15
AUTHORS,0.000,10/10/15
.css,0.000,10/10/15
.js,0.009,10/10/15
.eslintrc ,0.000,10/10/15
.python,0.000,10/10/15
.py,0.095,10/10/15
.txt,0.039,10/10/15
.py-tpl,0.000,10/10/15
.html,0.001,10/10/15
.1,0.001,10/10/15
.cfg,0.000,10/10/15
spelling_wordlist,0.000,9/10/15
.po,0.075,9/10/15
.graffle,0.000,9/10/15
.in,0.000,9/10/15
LICENSE,0.000,9/10/15
.json,0.000,9/10/15
.py-tpl,0.000,9/10/15
.1,0.001,9/10/15
.gitignore,0.000,9/10/15
.css,0.001,9/10/15
.js,0.017,9/10/15
.eslintrc ,0.000,9/10/15
.python,0.000,9/10/15
.py,0.112,9/10/15
.djtpl,0.000,9/10/15
.txt,0.041,9/10/15
AUTHORS,0.000,9/10/15
.html,0.001,9/10/15
.svg,0.000,9/10/15
.cfg,0.000,9/10/15
.po,0.075,8/10/15
.graffle,0.000,8/10/15
.in,0.000,8/10/15
LICENSE,0.000,8/10/15
.djtpl,0.000,8/10/15
.eslintrc ,0.000,8/10/15
file_txt,0.000,8/10/15
.py,0.125,8/10/15
.py-tpl,0.000,8/10/15
.coveragerc,0.000,8/10/15
.gitignore,0.000,8/10/15
.svg,0.000,8/10/15
.1,0.001,8/10/15
.js,0.023,8/10/15
spelling_wordlist,0.000,8/10/15
.png,0.000,8/10/15
.json,0.000,8/10/15
.css,0.003,8/10/15
.python,0.000,8/10/15
.cfg,0.000,8/10/15
.txt,0.045,8/10/15
AUTHORS,0.000,8/10/15
.html,0.001,8/10/15
django_bash_completion,0.000,8/10/15
.po,0.075,7/10/15
.graffle,0.000,7/10/15
.in,0.000,7/10/15
LICENSE,0.000,7/10/15
.editorconfig ,0.000,7/10/15
.djtpl,0.000,7/10/15
file_txt,0.000,7/10/15
.py,0.140,7/10/15
.py-tpl,0.000,7/10/15
.coveragerc,0.000,7/10/15
.gitignore,0.000,7/10/15
.svg,0.000,7/10/15
.1,0.001,7/10/15
.js,0.025,7/10/15
spelling_wordlist,0.000,7/10/15
.eslintignore,0.000,7/10/15
.eslintrc,0.000,7/10/15
.png,0.000,7/10/15
.json,0.000,7/10/15
.css,0.004,7/10/15
.python,0.000,7/10/15
.cfg,0.000,7/10/15
.txt,0.049,7/10/15
AUTHORS,0.000,7/10/15
.html,0.001,7/10/15
.hgignore,0.000,7/10/15
django_bash_completion,0.000,7/10/15
.po,0.075,6/10/15
.graffle,0.000,6/10/15
.in,0.000,6/10/15
LICENSE,0.000,6/10/15
.editorconfig ,0.000,6/10/15
.djtpl,0.000,6/10/15
file_txt,0.000,6/10/15
.py,0.154,6/10/15
.py-tpl,0.000,6/10/15
.coveragerc,0.000,6/10/15
.gitignore,0.000,6/10/15
.svg,0.000,6/10/15
.1,0.001,6/10/15
.js,0.055,6/10/15
spelling_wordlist,0.000,6/10/15
.eslintignore,0.000,6/10/15
.eslintrc,0.000,6/10/15
.png,0.000,6/10/15
.json,0.000,6/10/15
.css,0.004,6/10/15
.python,0.000,6/10/15
.cfg,0.000,6/10/15
.txt,0.058,6/10/15
AUTHORS,0.000,6/10/15
.html,0.001,6/10/15
.hgignore,0.000,6/10/15
.gitattributes,0.000,6/10/15
django_bash_completion,0.000,6/10/15
.po,0.075,5/10/15
.graffle,0.000,5/10/15
.in,0.000,5/10/15
LICENSE,0.000,5/10/15
.editorconfig ,0.000,5/10/15
.djtpl,0.000,5/10/15
file_txt,0.000,5/10/15
.py,0.166,5/10/15
.py-tpl,0.000,5/10/15
.coveragerc,0.000,5/10/15
.gitignore,0.000,5/10/15
.svg,0.000,5/10/15
.1,0.001,5/10/15
.prj,0.000,5/10/15
.sh,0.000,5/10/15
.rst,0.000,5/10/15
.js,0.055,5/10/15
spelling_wordlist,0.000,5/10/15
.eslintignore,0.000,5/10/15
.eslintrc,0.000,5/10/15
.png,0.000,5/10/15
.json,0.000,5/10/15
.css,0.004,5/10/15
.python,0.000,5/10/15
.cfg,0.000,5/10/15
.txt,0.062,5/10/15
AUTHORS,0.000,5/10/15
.html,0.001,5/10/15
.hgignore,0.000,5/10/15
.gitattributes,0.000,5/10/15
django_bash_completion,0.000,5/10/15
.po,0.260,4/10/15
.graffle,0.000,4/10/15
.in,0.000,4/10/15
LICENSE,0.000,4/10/15
.editorconfig ,0.000,4/10/15
.djtpl,0.000,4/10/15
file_txt,0.000,4/10/15
.py,0.178,4/10/15
.py-tpl,0.000,4/10/15
.coveragerc,0.000,4/10/15
.gitignore,0.000,4/10/15
.svg,0.000,4/10/15
.1,0.005,4/10/15
.prj,0.000,4/10/15
.sh,0.000,4/10/15
.rst,0.000,4/10/15
.js,0.055,4/10/15
spelling_wordlist,0.000,4/10/15
.eslintignore,0.000,4/10/15
.eslintrc,0.000,4/10/15
.png,0.000,4/10/15
.json,0.000,4/10/15
.css,0.004,4/10/15
.python,0.000,4/10/15
.cfg,0.000,4/10/15
.txt,0.065,4/10/15
AUTHORS,0.000,4/10/15
.html,0.001,4/10/15
.hgignore,0.000,4/10/15
.gitattributes,0.000,4/10/15
django_bash_completion,0.000,4/10/15
.po,0.260,3/10/15
.graffle,0.000,3/10/15
.in,0.000,3/10/15
LICENSE,0.000,3/10/15
.editorconfig ,0.000,3/10/15
backup~,0.000,3/10/15
.djtpl,0.000,3/10/15
file_txt,0.000,3/10/15
.py,0.247,3/10/15
.py-tpl,0.000,3/10/15
.xml,0.001,3/10/15
.coveragerc,0.000,3/10/15
.gitignore,0.000,3/10/15
.svg,0.000,3/10/15
.1,0.005,3/10/15
.prj,0.000,3/10/15
.sh,0.000,3/10/15
.rst,0.000,3/10/15
.js,0.055,3/10/15
spelling_wordlist,0.000,3/10/15
.eslintignore,0.000,3/10/15
.hidden,0.000,3/10/15
.eslintrc,0.000,3/10/15
.vrt,0.000,3/10/15
.png,0.000,3/10/15
.json,0.006,3/10/15
.csv,0.000,3/10/15
.css,0.004,3/10/15
".txt""",0.000,3/10/15
.python,0.000,3/10/15
.cfg,0.000,3/10/15
.txt,0.067,3/10/15
AUTHORS,0.000,3/10/15
.html,0.001,3/10/15
.hgignore,0.000,3/10/15
.gitattributes,0.000,3/10/15
django_bash_completion,0.000,3/10/15
.ignoreme,0.000,3/10/15
.po,0.267,2/10/15
.graffle,0.000,2/10/15
.in,0.000,2/10/15
LICENSE,0.000,2/10/15
.editorconfig ,0.000,2/10/15
backup~,0.000,2/10/15
.djtpl,0.000,2/10/15
file_txt,0.000,2/10/15
.py,0.301,2/10/15
.py-tpl,0.000,2/10/15
.xml,0.001,2/10/15
.coveragerc,0.000,2/10/15
.gitignore,0.000,2/10/15
.svg,0.000,2/10/15
.1,0.005,2/10/15
.prj,0.000,2/10/15
config,0.000,2/10/15
.sh,0.000,2/10/15
.rst,0.000,2/10/15
.js,0.055,2/10/15
spelling_wordlist,0.000,2/10/15
.eslintignore,0.000,2/10/15
.hidden,0.000,2/10/15
.eslintrc,0.000,2/10/15
.vrt,0.000,2/10/15
.png,0.000,2/10/15
.sql,0.000,2/10/15
.json,0.006,2/10/15
.csv,0.000,2/10/15
.css,0.004,2/10/15
".txt""",0.000,2/10/15
.python,0.000,2/10/15
.cfg,0.000,2/10/15
.txt,0.081,2/10/15
AUTHORS,0.000,2/10/15
.html,0.001,2/10/15
.hgignore,0.000,2/10/15
.gitattributes,0.000,2/10/15
django_bash_completion,0.000,2/10/15
.ignoreme,0.000,2/10/15
.po,0.267,1/10/15
.graffle,0.000,1/10/15
.in,0.000,1/10/15
LICENSE,0.000,1/10/15
.editorconfig ,0.000,1/10/15
backup~,0.000,1/10/15
.djtpl,0.000,1/10/15
file_txt,0.000,1/10/15
.py,0.332,1/10/15
.py-tpl,0.000,1/10/15
.xml,0.001,1/10/15
.coveragerc,0.000,1/10/15
.pristine,0.000,1/10/15
.gitignore,0.000,1/10/15
.svg,0.000,1/10/15
.1,0.005,1/10/15
.prj,0.000,1/10/15
config,0.000,1/10/15
.sh,0.000,1/10/15
.rst,0.000,1/10/15
.js,0.055,1/10/15
spelling_wordlist,0.001,1/10/15
.eslintignore,0.000,1/10/15
.hidden,0.000,1/10/15
.eslintrc,0.000,1/10/15
.vrt,0.000,1/10/15
.png,0.000,1/10/15
.sql,0.000,1/10/15
.json,0.006,1/10/15
.csv,0.000,1/10/15
.css,0.004,1/10/15
".txt""",0.000,1/10/15
.python,0.000,1/10/15
.cfg,0.000,1/10/15
.txt,0.085,1/10/15
AUTHORS,0.000,1/10/15
.html,0.001,1/10/15
.hgignore,0.000,1/10/15
.gitattributes,0.000,1/10/15
django_bash_completion,0.000,1/10/15
.ignoreme,0.000,1/10/15
.po,0.273,12/10/14
.graffle,0.000,12/10/14
.in,0.000,12/10/14
LICENSE,0.000,12/10/14
.editorconfig ,0.000,12/10/14
backup~,0.000,12/10/14
Makefile,0.000,12/10/14
.djtpl,0.000,12/10/14
file_txt,0.000,12/10/14
.py,0.363,12/10/14
.py-tpl,0.000,12/10/14
.xml,0.001,12/10/14
.coveragerc,0.000,12/10/14
.pristine,0.000,12/10/14
.gitignore,0.000,12/10/14
.svg,0.000,12/10/14
.1,0.005,12/10/14
.prj,0.000,12/10/14
config,0.000,12/10/14
.sh,0.000,12/10/14
.rst,0.000,12/10/14
.js,0.055,12/10/14
spelling_wordlist,0.001,12/10/14
.eslintignore,0.000,12/10/14
.hidden,0.000,12/10/14
.eslintrc,0.000,12/10/14
.vrt,0.000,12/10/14
.png,0.000,12/10/14
.sql,0.000,12/10/14
.json,0.006,12/10/14
.csv,0.000,12/10/14
.css,0.004,12/10/14
".txt""",0.000,12/10/14
.python,0.000,12/10/14
.cfg,0.000,12/10/14
.txt,0.091,12/10/14
AUTHORS,0.000,12/10/14
.html,0.002,12/10/14
.hgignore,0.000,12/10/14
.gitattributes,0.000,12/10/14
django_bash_completion,0.000,12/10/14
.ignoreme,0.000,12/10/14
.po,0.273,11/10/14
.graffle,0.000,11/10/14
.in,0.000,11/10/14
LICENSE,0.000,11/10/14
.editorconfig ,0.000,11/10/14
backup~,0.000,11/10/14
Makefile,0.000,11/10/14
.djtpl,0.000,11/10/14
file_txt,0.000,11/10/14
.py,0.373,11/10/14
.py-tpl,0.000,11/10/14
.xml,0.001,11/10/14
.coveragerc,0.000,11/10/14
.pristine,0.000,11/10/14
.gitignore,0.000,11/10/14
.svg,0.000,11/10/14
.1,0.005,11/10/14
.prj,0.000,11/10/14
config,0.000,11/10/14
.sh,0.000,11/10/14
.rst,0.000,11/10/14
.js,0.055,11/10/14
spelling_wordlist,0.001,11/10/14
.eslintignore,0.000,11/10/14
.hidden,0.000,11/10/14
.eslintrc,0.000,11/10/14
.vrt,0.000,11/10/14
.png,0.000,11/10/14
.sql,0.000,11/10/14
.json,0.006,11/10/14
.csv,0.000,11/10/14
.css,0.004,11/10/14
".txt""",0.000,11/10/14
.python,0.000,11/10/14
.cfg,0.000,11/10/14
.txt,0.107,11/10/14
AUTHORS,0.000,11/10/14
.html,0.002,11/10/14
.hgignore,0.000,11/10/14
.gitattributes,0.000,11/10/14
django_bash_completion,0.000,11/10/14
.ignoreme,0.000,11/10/14
.po,0.277,10/10/14
.graffle,0.000,10/10/14
.in,0.000,10/10/14
LICENSE,0.000,10/10/14
.editorconfig ,0.000,10/10/14
backup~,0.000,10/10/14
Makefile,0.000,10/10/14
.djtpl,0.000,10/10/14
file_txt,0.000,10/10/14
.py,0.384,10/10/14
.py-tpl,0.000,10/10/14
.xml,0.001,10/10/14
.coveragerc,0.000,10/10/14
.pristine,0.000,10/10/14
.gitignore,0.000,10/10/14
.svg,0.000,10/10/14
README,0.000,10/10/14
.1,0.005,10/10/14
.prj,0.000,10/10/14
config,0.000,10/10/14
.sh,0.000,10/10/14
.rst,0.000,10/10/14
.js,0.055,10/10/14
spelling_wordlist,0.001,10/10/14
.eslintignore,0.000,10/10/14
.hidden,0.000,10/10/14
.eslintrc,0.000,10/10/14
.vrt,0.000,10/10/14
.png,0.000,10/10/14
.sql,0.000,10/10/14
.json,0.006,10/10/14
.csv,0.000,10/10/14
.css,0.004,10/10/14
".txt""",0.000,10/10/14
.python,0.000,10/10/14
.cfg,0.000,10/10/14
.txt,0.108,10/10/14
AUTHORS,0.000,10/10/14
.html,0.002,10/10/14
.hgignore,0.000,10/10/14
.gitattributes,0.000,10/10/14
django_bash_completion,0.000,10/10/14
.ignoreme,0.000,10/10/14
.po,0.411,9/10/14
.graffle,0.000,9/10/14
.in,0.000,9/10/14
LICENSE,0.000,9/10/14
.editorconfig ,0.000,9/10/14
backup~,0.000,9/10/14
Makefile,0.000,9/10/14
.djtpl,0.000,9/10/14
file_txt,0.000,9/10/14
.py,0.388,9/10/14
.py-tpl,0.000,9/10/14
.xml,0.001,9/10/14
.coveragerc,0.000,9/10/14
.pristine,0.000,9/10/14
.gitignore,0.000,9/10/14
.svg,0.000,9/10/14
README,0.000,9/10/14
.1,0.005,9/10/14
.prj,0.000,9/10/14
config,0.000,9/10/14
.sh,0.000,9/10/14
.rst,0.000,9/10/14
.js,0.054,9/10/14
spelling_wordlist,0.001,9/10/14
.eslintignore,0.000,9/10/14
.hidden,0.000,9/10/14
.eslintrc,0.000,9/10/14
.vrt,0.000,9/10/14
.png,0.000,9/10/14
.sql,0.000,9/10/14
.json,0.006,9/10/14
.csv,0.000,9/10/14
.css,0.004,9/10/14
".txt""",0.000,9/10/14
.python,0.000,9/10/14
.cfg,0.000,9/10/14
.txt,0.112,9/10/14
AUTHORS,0.002,9/10/14
.html,0.002,9/10/14
.hgignore,0.000,9/10/14
.gitattributes,0.000,9/10/14
django_bash_completion,0.000,9/10/14
.ignoreme,0.000,9/10/14
.po,0.411,8/10/14
.graffle,0.000,8/10/14
.in,0.000,8/10/14
LICENSE,0.000,8/10/14
.editorconfig ,0.000,8/10/14
backup~,0.000,8/10/14
Makefile,0.000,8/10/14
.djtpl,0.000,8/10/14
file_txt,0.000,8/10/14
.py,0.392,8/10/14
.py-tpl,0.000,8/10/14
.xml,0.001,8/10/14
.coveragerc,0.000,8/10/14
.pristine,0.000,8/10/14
.gitignore,0.000,8/10/14
.svg,0.000,8/10/14
README,0.000,8/10/14
.1,0.005,8/10/14
.prj,0.000,8/10/14
config,0.000,8/10/14
.sh,0.000,8/10/14
.rst,0.000,8/10/14
.js,0.054,8/10/14
spelling_wordlist,0.001,8/10/14
.eslintignore,0.000,8/10/14
.hidden,0.000,8/10/14
.eslintrc,0.000,8/10/14
.vrt,0.000,8/10/14
.png,0.000,8/10/14
.sql,0.000,8/10/14
.json,0.005,8/10/14
.csv,0.000,8/10/14
.css,0.004,8/10/14
".txt""",0.000,8/10/14
.python,0.000,8/10/14
.cfg,0.000,8/10/14
.txt,0.118,8/10/14
AUTHORS,0.002,8/10/14
.html,0.002,8/10/14
.hgignore,0.000,8/10/14
.gitattributes,0.000,8/10/14
django_bash_completion,0.000,8/10/14
.ignoreme,0.000,8/10/14
.po,0.411,7/10/14
.graffle,0.000,7/10/14
.in,0.000,7/10/14
LICENSE,0.000,7/10/14
.editorconfig ,0.000,7/10/14
backup~,0.000,7/10/14
Makefile,0.000,7/10/14
.djtpl,0.000,7/10/14
file_txt,0.000,7/10/14
.py,0.401,7/10/14
.py-tpl,0.000,7/10/14
.xml,0.001,7/10/14
.coveragerc,0.000,7/10/14
.pristine,0.000,7/10/14
.gitignore,0.000,7/10/14
.svg,0.000,7/10/14
README,0.000,7/10/14
.1,0.005,7/10/14
.prj,0.000,7/10/14
config,0.000,7/10/14
.keep,0.000,7/10/14
.sh,0.000,7/10/14
.rst,0.000,7/10/14
.js,0.054,7/10/14
spelling_wordlist,0.001,7/10/14
.eslintignore,0.000,7/10/14
.hidden,0.000,7/10/14
.eslintrc,0.000,7/10/14
.vrt,0.000,7/10/14
.png,0.000,7/10/14
.sql,0.000,7/10/14
.json,0.005,7/10/14
.csv,0.000,7/10/14
.css,0.004,7/10/14
