key,value,date
.js,0.000,3/10/16
Gemfile,0.000,3/10/16
.yaml,0.000,3/10/16
.rdoc,0.000,3/10/16
.rb,0.023,3/10/16
console,0.000,3/10/16
.lock,0.000,3/10/16
rails,0.000,3/10/16
.css,0.000,3/10/16
.rake,0.000,3/10/16
.md,0.004,3/10/16
.yml,0.000,3/10/16
.coffee,0.000,3/10/16
.md ,0.000,3/10/16
USAGE,0.000,3/10/16
.tt,0.000,3/10/16
.erb,0.000,3/10/16
.ru,0.000,3/10/16
RAILS_VERSION,0.000,3/10/16
Gemfile,0.000,2/10/16
.rb,0.039,2/10/16
.tt,0.000,2/10/16
.md,0.008,2/10/16
.gitignore,0.000,2/10/16
.ru,0.000,2/10/16
RAILS_VERSION,0.000,2/10/16
.empty_directory,0.000,2/10/16
console,0.000,2/10/16
.yaml,0.000,2/10/16
rails,0.000,2/10/16
.yml,0.000,2/10/16
.coffee,0.002,2/10/16
.rdoc,0.000,2/10/16
.gemspec,0.000,2/10/16
.js,0.000,2/10/16
Rakefile,0.000,2/10/16
.md ,0.000,2/10/16
USAGE,0.000,2/10/16
.erb,0.001,2/10/16
.png,0.000,2/10/16
.css,0.000,2/10/16
.rake,0.000,2/10/16
.lock,0.000,2/10/16
Gemfile,0.000,1/10/16
generate_tables,0.000,1/10/16
.rb,0.061,1/10/16
.tt,0.000,1/10/16
.md,0.014,1/10/16
rails,0.000,1/10/16
MIT-LICENSE,0.000,1/10/16
.ru,0.000,1/10/16
RAILS_VERSION,0.000,1/10/16
.empty_directory,0.000,1/10/16
console,0.000,1/10/16
.yaml,0.000,1/10/16
.gitignore,0.000,1/10/16
.yml,0.000,1/10/16
.coffee,0.001,1/10/16
test,0.000,1/10/16
gitignore,0.000,1/10/16
.rdoc,0.000,1/10/16
update,0.000,1/10/16
.gemspec,0.000,1/10/16
.js,0.000,1/10/16
Rakefile,0.000,1/10/16
.md ,0.000,1/10/16
USAGE,0.000,1/10/16
.erb,0.001,1/10/16
.png,0.000,1/10/16
setup,0.000,1/10/16
.css,0.000,1/10/16
.rake,0.000,1/10/16
.lock,0.001,1/10/16
.html,0.000,1/10/16
Gemfile,0.000,12/10/15
generate_tables,0.000,12/10/15
.rb,0.069,12/10/15
.tt,0.000,12/10/15
.md,0.015,12/10/15
rails,0.000,12/10/15
MIT-LICENSE,0.000,12/10/15
.ru,0.000,12/10/15
RAILS_VERSION,0.000,12/10/15
.empty_directory,0.000,12/10/15
console,0.000,12/10/15
.yaml,0.000,12/10/15
.gitignore,0.000,12/10/15
.yml,0.000,12/10/15
.coffee,0.001,12/10/15
test,0.000,12/10/15
gitignore,0.000,12/10/15
.rdoc,0.000,12/10/15
update,0.000,12/10/15
.gemspec,0.000,12/10/15
.js,0.000,12/10/15
Rakefile,0.000,12/10/15
.md ,0.000,12/10/15
USAGE,0.000,12/10/15
.erb,0.001,12/10/15
.png,0.000,12/10/15
setup,0.000,12/10/15
.css,0.000,12/10/15
.rake,0.000,12/10/15
.lock,0.001,12/10/15
.html,0.000,12/10/15
Gemfile,0.000,11/10/15
generate_tables,0.000,11/10/15
.rb,0.082,11/10/15
.tt,0.000,11/10/15
.md,0.017,11/10/15
rails,0.000,11/10/15
MIT-LICENSE,0.000,11/10/15
.ru,0.000,11/10/15
RAILS_VERSION,0.000,11/10/15
.empty_directory,0.000,11/10/15
console,0.000,11/10/15
.yaml,0.000,11/10/15
.gitignore,0.000,11/10/15
.yml,0.000,11/10/15
.coffee,0.001,11/10/15
test,0.000,11/10/15
gitignore,0.000,11/10/15
.rdoc,0.000,11/10/15
update,0.000,11/10/15
.gemspec,0.000,11/10/15
.js,0.000,11/10/15
Rakefile,0.000,11/10/15
.md ,0.000,11/10/15
USAGE,0.000,11/10/15
.erb,0.001,11/10/15
.png,0.000,11/10/15
setup,0.000,11/10/15
.css,0.000,11/10/15
.rake,0.000,11/10/15
.lock,0.001,11/10/15
.html,0.000,11/10/15
Gemfile,0.000,10/10/15
generate_tables,0.000,10/10/15
.rb,0.102,10/10/15
.tt,0.000,10/10/15
.md,0.018,10/10/15
rails,0.000,10/10/15
MIT-LICENSE,0.000,10/10/15
.ru,0.000,10/10/15
RAILS_VERSION,0.000,10/10/15
.empty_directory,0.000,10/10/15
console,0.000,10/10/15
.yaml,0.000,10/10/15
.gitignore,0.000,10/10/15
.yml,0.000,10/10/15
.coffee,0.001,10/10/15
test,0.000,10/10/15
gitignore,0.000,10/10/15
.rdoc,0.000,10/10/15
update,0.000,10/10/15
.gemspec,0.000,10/10/15
.js,0.000,10/10/15
Rakefile,0.000,10/10/15
.md ,0.000,10/10/15
USAGE,0.000,10/10/15
.erb,0.001,10/10/15
.png,0.000,10/10/15
setup,0.000,10/10/15
.css,0.000,10/10/15
.rake,0.000,10/10/15
.lock,0.001,10/10/15
.html,0.000,10/10/15
Gemfile,0.000,9/10/15
generate_tables,0.000,9/10/15
.rb,0.120,9/10/15
.tt,0.000,9/10/15
.md,0.022,9/10/15
rails,0.000,9/10/15
MIT-LICENSE,0.000,9/10/15
.ru,0.000,9/10/15
RAILS_VERSION,0.000,9/10/15
.empty_directory,0.000,9/10/15
console,0.000,9/10/15
.yaml,0.000,9/10/15
.gitignore,0.000,9/10/15
.yml,0.000,9/10/15
.coffee,0.001,9/10/15
test,0.000,9/10/15
gitignore,0.000,9/10/15
.rdoc,0.001,9/10/15
update,0.000,9/10/15
.gemspec,0.000,9/10/15
.js,0.000,9/10/15
Rakefile,0.000,9/10/15
.md ,0.000,9/10/15
USAGE,0.000,9/10/15
.erb,0.001,9/10/15
.png,0.000,9/10/15
setup,0.000,9/10/15
.css,0.000,9/10/15
.rake,0.000,9/10/15
.lock,0.001,9/10/15
.html,0.000,9/10/15
bundle,0.000,8/10/15
Gemfile,0.001,8/10/15
large_text_file,0.000,8/10/15
LICENSE,0.000,8/10/15
generate_tables,0.000,8/10/15
.rb,0.724,8/10/15
raw_email,0.000,8/10/15
.yardopts,0.000,8/10/15
README,0.000,8/10/15
single_utf8_param,0.000,8/10/15
.md,0.128,8/10/15
".html""",0.000,8/10/15
rails,0.000,8/10/15
.zoo,0.000,8/10/15
MIT-LICENSE,0.001,8/10/15
.tt,0.001,8/10/15
.document,0.000,8/10/15
.styles,0.000,8/10/15
.dtd,0.000,8/10/15
.ru,0.000,8/10/15
RAILS_VERSION,0.000,8/10/15
.empty_directory,0.000,8/10/15
bracketed_param,0.000,8/10/15
console,0.000,8/10/15
".css""",0.000,8/10/15
.ruby-version,0.000,8/10/15
line_statistics,0.000,8/10/15
.gitignore,0.000,8/10/15
.builder,0.000,8/10/15
.javascript,0.000,8/10/15
.yml,0.007,8/10/15
.coffee,0.002,8/10/15
.raw,0.000,8/10/15
test,0.000,8/10/15
.log,0.000,8/10/15
".js""",0.000,8/10/15
bracketed_utf8_param,0.000,8/10/15
empty,0.000,8/10/15
.ico,0.000,8/10/15
profile,0.000,8/10/15
text_file,0.000,8/10/15
.rdoc,0.002,8/10/15
gitignore,0.000,8/10/15
welcome,0.000,8/10/15
dont_pick_me,0.000,8/10/15
update,0.000,8/10/15
.gemspec,0.001,8/10/15
.gitkeep,0.000,8/10/15
.js,0.005,8/10/15
Rakefile,0.002,8/10/15
utf8_filename,0.000,8/10/15
.png,0.000,8/10/15
single_parameter,0.000,8/10/15
boundary_problem_file,0.000,8/10/15
.md ,0.000,8/10/15
USAGE,0.001,8/10/15
.mab,0.000,8/10/15
.erb,0.005,8/10/15
none,0.000,8/10/15
.ruby,0.000,8/10/15
.erb~,0.000,8/10/15
.sql,0.000,8/10/15
".zoo""",0.000,8/10/15
admin,0.000,8/10/15
malformed~,0.000,8/10/15
setup,0.000,8/10/15
.yaml,0.001,8/10/15
.css,0.012,8/10/15
.rake,0.002,8/10/15
.y,0.000,8/10/15
.lock,0.001,8/10/15
rake,0.000,8/10/15
.txt,0.000,8/10/15
.html,0.001,8/10/15
Gemfile,0.000,7/10/15
generate_tables,0.000,7/10/15
.rb,0.143,7/10/15
.tt,0.000,7/10/15
.md,0.025,7/10/15
rails,0.000,7/10/15
MIT-LICENSE,0.000,7/10/15
.ru,0.000,7/10/15
RAILS_VERSION,0.000,7/10/15
.empty_directory,0.000,7/10/15
console,0.000,7/10/15
.yaml,0.000,7/10/15
.gitignore,0.000,7/10/15
.yml,0.000,7/10/15
.coffee,0.001,7/10/15
test,0.000,7/10/15
gitignore,0.000,7/10/15
.rdoc,0.001,7/10/15
update,0.000,7/10/15
.gemspec,0.000,7/10/15
.js,0.000,7/10/15
Rakefile,0.000,7/10/15
utf8_filename,0.000,7/10/15
.md ,0.000,7/10/15
USAGE,0.000,7/10/15
.erb,0.001,7/10/15
.png,0.000,7/10/15
setup,0.000,7/10/15
.css,0.000,7/10/15
.rake,0.001,7/10/15
.lock,0.001,7/10/15
