,1/10/2015,2/10/2015,3/10/2015,4/10/2015,5/10/2015,6/10/2015,7/10/2015,8/10/2015,9/10/2015,10/10/2015,11/10/2015,12/10/2015
.rb,88387,81525,74764,69809,67182,64134,58088,293599,48526,41409,33415,27959
.ru,3,3,3,3,3,3,3,5,3,3,3,3
.css,58,56,39,39,39,12,12,4959,6,6,6,6
.rdoc,320,311,266,258,258,258,254,978,243,38,36,36
Rakefile,304,302,300,285,285,281,131,665,120,116,116,136
.rake,435,388,300,286,261,259,221,888,166,154,136,121
.html,3,3,3,3,3,3,1,216,1,1,1,1
.gemspec,91,89,79,77,72,52,52,331,53,48,47,45
.erb,752,736,733,555,554,538,526,2092,520,520,478,472
Gemfile,146,131,133,128,117,112,108,237,103,102,97,62
.tt,242,233,171,171,169,169,169,383,149,154,140,96
.md,16469,14066,13253,12459,11832,10838,10289,51758,8809,7373,6768,6103
.coffee,375,375,375,375,375,375,375,687,375,375,375,375
.js,34,34,34,34,32,32,32,1968,30,25,13,13
.png,0,0,0,0,0,0,0,0,0,0,0,0
