key,value,date
.po,0.267,1/10/15
.po,0.267,2/10/15
.po,0.260,3/10/15
.po,0.260,4/10/15
.po,0.075,5/10/15
.po,0.075,6/10/15
.po,0.075,7/10/15
.po,0.075,8/10/15
.po,0.075,9/10/15
.po,0.074,10/10/15
.po,0.074,11/10/15
.po,0.073,12/10/15
.graffle,0.000,1/10/15
.graffle,0.000,2/10/15
.graffle,0.000,3/10/15
.graffle,0.000,4/10/15
.graffle,0.000,5/10/15
.graffle,0.000,6/10/15
.graffle,0.000,7/10/15
.graffle,0.000,8/10/15
.graffle,0.000,9/10/15
.graffle,0.000,10/10/15
.graffle,0.000,11/10/15
.graffle,0.000,12/10/15
.in,0.000,1/10/15
.in,0.000,2/10/15
.in,0.000,3/10/15
.in,0.000,4/10/15
.in,0.000,5/10/15
.in,0.000,6/10/15
.in,0.000,7/10/15
.in,0.000,8/10/15
.in,0.000,9/10/15
.in,0.000,10/10/15
.in,0.000,11/10/15
.in,0.000,12/10/15
.py,0.332,1/10/15
.py,0.301,2/10/15
.py,0.247,3/10/15
.py,0.178,4/10/15
.py,0.166,5/10/15
.py,0.154,6/10/15
.py,0.140,7/10/15
.py,0.125,8/10/15
.py,0.112,9/10/15
.py,0.095,10/10/15
.py,0.054,11/10/15
.py,0.048,12/10/15
.py-tpl,0.000,1/10/15
.py-tpl,0.000,2/10/15
.py-tpl,0.000,3/10/15
.py-tpl,0.000,4/10/15
.py-tpl,0.000,5/10/15
.py-tpl,0.000,6/10/15
.py-tpl,0.000,7/10/15
.py-tpl,0.000,8/10/15
.py-tpl,0.000,9/10/15
.py-tpl,0.000,10/10/15
.py-tpl,0.000,11/10/15
.py-tpl,0.000,12/10/15
.gitignore,0.000,1/10/15
.gitignore,0.000,2/10/15
.gitignore,0.000,3/10/15
.gitignore,0.000,4/10/15
.gitignore,0.000,5/10/15
.gitignore,0.000,6/10/15
.gitignore,0.000,7/10/15
.gitignore,0.000,8/10/15
.gitignore,0.000,9/10/15
.gitignore,0.000,10/10/15
.gitignore,0.000,11/10/15
.gitignore,0.000,12/10/15
.svg,0.000,1/10/15
.svg,0.000,2/10/15
.svg,0.000,3/10/15
.svg,0.000,4/10/15
.svg,0.000,5/10/15
.svg,0.000,6/10/15
.svg,0.000,7/10/15
.svg,0.000,8/10/15
.svg,0.000,9/10/15
.svg,0.000,10/10/15
.svg,0.000,11/10/15
.svg,0.000,12/10/15
.1,0.005,1/10/15
.1,0.005,2/10/15
.1,0.005,3/10/15
.1,0.005,4/10/15
.1,0.001,5/10/15
.1,0.001,6/10/15
.1,0.001,7/10/15
.1,0.001,8/10/15
.1,0.001,9/10/15
.1,0.001,10/10/15
.1,0.000,11/10/15
.1,0.000,12/10/15
.js,0.055,1/10/15
.js,0.055,2/10/15
.js,0.055,3/10/15
.js,0.055,4/10/15
.js,0.055,5/10/15
.js,0.055,6/10/15
.js,0.025,7/10/15
.js,0.023,8/10/15
.js,0.017,9/10/15
.js,0.009,10/10/15
.js,0.009,11/10/15
.js,0.009,12/10/15
.html,0.001,1/10/15
.html,0.001,2/10/15
.html,0.001,3/10/15
.html,0.001,4/10/15
.html,0.001,5/10/15
.html,0.001,6/10/15
.html,0.001,7/10/15
.html,0.001,8/10/15
.html,0.001,9/10/15
.html,0.001,10/10/15
.html,0.000,11/10/15
.html,0.000,12/10/15
.json,0.006,1/10/15
.json,0.006,2/10/15
.json,0.006,3/10/15
.json,0.000,4/10/15
.json,0.000,5/10/15
.json,0.000,6/10/15
.json,0.000,7/10/15
.json,0.000,8/10/15
.json,0.000,9/10/15
.json,0.000,10/10/15
.json,0.000,11/10/15
.json,0.000,12/10/15
.css,0.004,1/10/15
.css,0.004,2/10/15
.css,0.004,3/10/15
.css,0.004,4/10/15
.css,0.004,5/10/15
.css,0.004,6/10/15
.css,0.004,7/10/15
.css,0.003,8/10/15
.css,0.001,9/10/15
.css,0.000,10/10/15
.css,0.000,11/10/15
.css,0.000,12/10/15
.txt,0.085,1/10/15
.txt,0.081,2/10/15
.txt,0.067,3/10/15
.txt,0.065,4/10/15
.txt,0.062,5/10/15
.txt,0.058,6/10/15
.txt,0.049,7/10/15
.txt,0.045,8/10/15
.txt,0.041,9/10/15
.txt,0.039,10/10/15
.txt,0.030,11/10/15
.txt,0.028,12/10/15
